Attendance,StudyHours,AssignScore,PrevGPA,Participation,NetUsage,Sleep,FamilySupport,ExtraCurr,FinalScore,Pass,Performance,Risk
79,9.1,44,4.2,7,7.0,4.8,3,10,65,PASS,Average,Medium
69,4.2,49,7.4,6,1.7,5.8,6,10,65,PASS,Average,Medium
82,3.1,40,6.4,6,1.6,9.4,8,5,63,PASS,Average,Medium
73,8.0,78,4.2,8,2.8,9.8,7,10,71,PASS,Good,Medium
77,3.5,67,7.5,0,7.1,9.2,7,8,58,PASS,Average,Medium
97,8.4,48,4.1,9,1.9,4.7,8,8,75,PASS,Good,Low
69,4.8,97,8.7,5,6.0,9.7,4,9,74,PASS,Good,Medium
98,7.0,72,5.8,5,1.7,6.5,4,2,61,PASS,Average,Medium
95,1.9,55,4.2,5,5.4,4.1,2,2,49,FAIL,Poor,High
60,6.6,70,7.5,5,3.5,6.7,4,3,70,PASS,Good,High
53,5.1,81,6.4,9,6.5,4.3,7,6,66,PASS,Average,High
55,6.3,45,9.8,6,2.6,7.3,4,2,62,PASS,Average,High
51,2.5,56,7.3,9,5.5,6.0,3,9,54,PASS,Average,High
55,7.6,88,5.7,5,2.6,6.8,7,7,75,PASS,Good,High
84,8.8,68,8.3,0,6.0,7.7,6,10,72,PASS,Good,Low
54,3.0,73,5.6,2,7.1,9.2,5,7,47,FAIL,Poor,High
66,1.9,66,9.4,1,1.9,8.0,4,5,61,PASS,Average,Medium
92,1.2,43,6.2,5,7.1,6.6,4,3,42,FAIL,Poor,High
51,6.8,50,7.3,7,5.2,8.9,9,10,67,PASS,Average,High
91,6.5,67,4.3,2,1.9,9.4,1,10,58,PASS,Average,Medium
64,5.9,53,6.6,9,4.0,4.7,3,4,71,PASS,Good,Medium
56,3.1,43,9.0,7,2.1,7.2,7,1,61,PASS,Average,High
85,4.5,91,8.8,7,5.9,5.7,7,5,72,PASS,Good,Low
81,6.4,99,5.3,4,6.3,4.3,10,2,66,PASS,Average,Medium
94,5.5,88,5.4,7,1.7,8.0,0,5,63,PASS,Average,Medium
87,9.9,91,8.9,5,4.5,9.2,1,4,88,PASS,Excellent,Low
90,2.2,55,9.6,4,6.7,5.0,4,1,61,PASS,Average,Medium
64,7.3,98,4.6,8,7.6,8.9,8,4,67,PASS,Average,Medium
59,4.6,52,6.7,6,4.6,9.1,9,4,60,PASS,Average,High
88,4.9,97,6.0,7,7.7,9.5,10,8,70,PASS,Good,Medium
90,7.5,100,9.2,0,4.7,5.6,10,10,89,PASS,Excellent,Low
100,7.2,83,4.5,10,3.8,9.4,6,7,73,PASS,Good,Low
71,9.9,99,5.3,1,6.9,5.9,9,6,80,PASS,Good,Medium
69,2.2,74,8.5,7,4.5,7.3,4,2,67,PASS,Average,Medium
89,1.9,56,4.3,8,4.3,4.3,0,9,45,FAIL,Poor,High
67,7.5,66,7.0,3,4.4,4.3,5,3,63,PASS,Average,Medium
97,6.2,76,6.7,9,6.9,8.3,7,5,79,PASS,Good,Low
93,3.5,44,6.0,10,6.8,6.7,6,2,48,FAIL,Poor,High
71,1.7,77,6.4,9,3.8,5.5,1,10,58,PASS,Average,Medium
88,1.8,99,7.2,8,3.3,5.1,4,8,56,PASS,Average,Medium
88,9.0,51,5.0,3,4.4,8.0,10,7,77,PASS,Good,Low
55,2.7,88,7.4,9,5.0,4.0,3,5,58,PASS,Average,High
95,3.9,94,8.8,9,2.7,8.8,8,3,78,PASS,Good,Low
75,3.0,97,8.6,9,6.6,4.5,9,6,66,PASS,Average,Medium
91,4.2,98,4.9,8,4.4,5.1,0,10,56,PASS,Average,Medium
66,1.6,71,4.9,10,3.3,6.3,5,2,57,PASS,Average,Medium
95,5.7,99,5.6,6,1.7,6.9,2,9,71,PASS,Good,Low
69,1.6,85,6.2,1,2.7,6.1,10,7,69,PASS,Average,Medium
51,8.2,50,6.5,8,7.6,5.9,8,0,62,PASS,Average,High
95,3.1,69,8.1,3,3.1,9.8,4,2,60,PASS,Average,Medium
55,5.9,83,4.3,7,2.2,7.8,5,10,59,PASS,Average,High
66,8.9,55,4.2,6,4.2,4.1,10,4,65,PASS,Average,Medium
98,6.9,78,6.4,6,3.1,6.6,8,4,83,PASS,Good,Low
98,5.8,80,8.2,7,1.2,9.3,8,9,86,PASS,Excellent,Low
79,3.9,50,5.2,0,3.3,5.8,7,1,41,FAIL,Poor,High
82,4.0,74,7.8,4,4.8,4.6,8,9,70,PASS,Good,Medium
72,7.0,86,5.6,1,4.9,8.6,3,7,69,PASS,Average,Medium
65,9.9,70,9.3,1,3.5,7.6,5,4,83,PASS,Good,Medium
66,7.0,41,9.4,0,4.1,7.4,4,6,62,PASS,Average,Medium
84,6.0,41,5.8,4,7.8,4.3,4,6,53,PASS,Average,Medium
88,7.6,61,5.4,1,3.6,4.8,3,4,64,PASS,Average,Medium
90,5.2,96,6.5,3,2.8,7.7,1,7,66,PASS,Average,Medium
89,1.5,54,5.4,2,2.7,5.2,5,8,53,PASS,Average,Medium
55,6.1,78,8.0,2,4.2,7.0,8,3,64,PASS,Average,High
75,9.6,53,9.0,1,6.3,7.3,0,3,64,PASS,Average,Medium
53,2.6,59,8.0,5,2.4,5.7,6,7,49,FAIL,Poor,High
77,7.2,91,8.9,1,6.0,9.7,5,0,69,PASS,Average,Medium
72,2.8,84,6.4,7,1.1,9.1,2,3,59,PASS,Average,Medium
94,5.8,46,4.9,7,3.9,8.3,0,5,61,PASS,Average,Medium
68,1.9,66,8.4,4,6.4,4.5,3,3,52,PASS,Average,Medium
56,5.1,42,6.2,9,3.4,4.6,8,5,61,PASS,Average,High
57,7.8,69,8.0,6,4.9,7.0,1,4,70,PASS,Good,High
88,4.1,80,5.6,3,2.4,5.0,2,8,58,PASS,Average,Medium
81,7.0,47,4.5,0,6.2,9.9,1,9,65,PASS,Average,Medium
55,8.2,57,10.0,10,1.4,5.0,1,8,85,PASS,Excellent,High
54,9.3,64,4.9,1,7.0,6.9,9,3,66,PASS,Average,High
85,3.1,95,9.9,9,2.4,6.2,10,3,81,PASS,Good,Low
54,4.6,100,9.9,9,7.1,7.8,10,7,67,PASS,Average,High
91,2.4,43,8.8,3,3.5,4.8,7,9,53,PASS,Average,Medium
85,9.9,86,8.0,0,6.1,6.6,2,3,77,PASS,Good,Low
54,9.3,62,7.5,7,3.2,5.6,6,1,71,PASS,Good,High
54,5.9,64,9.2,8,7.3,9.3,7,1,62,PASS,Average,High
99,8.6,85,5.7,3,1.9,4.2,2,0,76,PASS,Good,Low
69,5.7,95,6.8,9,2.2,9.5,1,4,80,PASS,Good,Medium
69,6.6,97,7.7,2,4.5,9.0,7,5,74,PASS,Good,Medium
91,1.8,75,6.5,1,1.6,5.8,2,8,56,PASS,Average,Medium
97,7.8,61,6.6,4,2.4,8.7,6,4,74,PASS,Good,Low
99,2.1,87,6.0,2,7.6,4.2,0,5,50,PASS,Average,High
88,8.4,55,7.4,9,7.8,9.8,5,5,82,PASS,Good,Low
69,8.0,74,9.1,6,3.6,7.2,8,2,73,PASS,Good,Medium
54,7.4,62,5.2,10,7.5,5.8,2,3,53,PASS,Average,High
89,1.3,79,9.6,5,4.8,6.2,6,0,54,PASS,Average,Medium
78,3.7,54,8.1,0,2.9,4.4,5,3,60,PASS,Average,Medium
71,3.4,51,8.9,7,5.9,9.9,7,0,62,PASS,Average,Medium
95,4.2,95,7.3,1,5.6,4.2,2,4,65,PASS,Average,Medium
56,1.8,46,8.7,4,7.9,7.9,2,10,58,PASS,Average,High
75,9.4,70,4.1,8,2.9,6.7,3,10,67,PASS,Average,Medium
51,6.0,53,8.9,7,5.7,9.7,2,7,73,PASS,Good,High
73,3.7,42,4.2,1,1.4,5.5,8,7,45,FAIL,Poor,High
53,4.6,42,9.3,8,1.8,7.2,10,4,63,PASS,Average,High
56,5.0,51,10.0,4,1.0,6.9,3,9,67,PASS,Average,High
56,6.4,92,5.8,9,8.0,8.2,5,1,69,PASS,Average,High
82,5.6,57,5.3,5,6.6,4.4,7,5,57,PASS,Average,Medium
87,9.3,97,8.6,2,6.5,5.2,10,0,87,PASS,Excellent,Low
79,5.5,75,5.5,2,4.6,5.3,7,6,61,PASS,Average,Medium
98,9.9,66,9.2,9,3.1,8.4,4,10,91,PASS,Excellent,Low
69,8.7,75,4.6,7,2.1,5.1,4,3,68,PASS,Average,Medium
64,2.9,71,4.8,10,3.0,7.4,5,4,57,PASS,Average,Medium
93,9.4,86,9.9,9,3.6,5.3,9,5,87,PASS,Excellent,Low
61,2.0,57,8.0,9,6.3,9.2,6,10,52,PASS,Average,Medium
98,8.4,61,9.1,1,4.8,9.7,9,0,78,PASS,Good,Low
51,4.4,94,5.9,10,1.5,7.1,6,8,70,PASS,Good,High
98,8.9,97,8.1,1,1.1,6.1,3,9,95,PASS,Excellent,Low
52,8.8,94,7.6,4,1.7,5.4,5,3,76,PASS,Good,High
95,8.3,65,7.6,5,3.9,4.3,6,7,68,PASS,Average,Medium
76,8.1,87,8.1,1,7.5,5.6,4,4,69,PASS,Average,Medium
100,3.7,69,7.5,4,5.5,7.9,4,10,68,PASS,Average,Medium
54,1.7,70,6.6,6,6.6,7.2,1,7,44,FAIL,Poor,High
78,4.6,52,5.7,9,4.3,9.7,6,0,54,PASS,Average,Medium
98,2.6,75,8.6,9,3.5,6.4,5,7,72,PASS,Good,Low
76,7.3,51,5.4,7,1.8,8.2,10,10,72,PASS,Good,Medium
81,4.1,60,8.2,6,7.1,6.9,0,10,54,PASS,Average,Medium
85,9.8,91,5.4,7,6.5,7.1,3,3,74,PASS,Good,Low
73,6.8,52,7.8,8,2.2,5.6,2,1,75,PASS,Good,Medium
81,8.4,44,8.5,4,4.6,6.7,2,10,77,PASS,Good,Low
79,2.2,44,5.3,4,4.4,6.8,6,5,41,FAIL,Poor,High
95,8.8,96,4.4,10,5.4,8.2,10,1,72,PASS,Good,Low
52,9.3,70,4.8,9,7.6,9.6,9,4,74,PASS,Good,High
64,5.4,65,7.6,3,5.1,6.0,3,1,59,PASS,Average,Medium
98,6.5,89,9.1,8,4.8,4.3,7,2,82,PASS,Good,Low
95,7.9,90,4.3,4,1.4,7.0,10,10,79,PASS,Good,Low
73,2.6,60,8.4,1,1.4,7.3,8,5,53,PASS,Average,Medium
81,5.5,82,6.0,9,2.3,5.0,2,0,65,PASS,Average,Medium
64,4.6,86,6.9,7,1.2,8.6,4,5,63,PASS,Average,Medium
59,2.3,79,9.6,6,6.2,9.9,3,2,57,PASS,Average,High
73,4.3,49,6.0,7,6.1,9.7,9,6,62,PASS,Average,Medium
68,1.6,93,6.8,2,2.0,5.2,5,1,54,PASS,Average,Medium
79,1.2,72,4.1,3,6.9,9.3,10,5,39,FAIL,Poor,High
54,2.2,57,4.5,4,2.1,8.2,9,7,51,PASS,Average,High
99,9.7,66,5.6,5,3.1,6.7,3,0,74,PASS,Good,Low
99,5.9,42,4.2,0,2.7,7.2,7,10,61,PASS,Average,Medium
85,9.7,48,7.8,3,3.6,9.1,2,10,72,PASS,Good,Low
77,4.9,86,6.6,10,2.8,6.9,10,8,68,PASS,Average,Medium
65,3.8,40,7.3,9,4.4,6.2,4,4,58,PASS,Average,Medium
91,5.6,65,5.0,4,3.9,7.0,0,4,54,PASS,Average,Medium
84,5.0,71,5.8,6,7.9,7.5,5,4,60,PASS,Average,Medium
58,2.0,43,8.0,4,1.4,5.1,10,5,46,FAIL,Poor,High
96,6.8,98,9.8,0,2.0,9.4,4,1,80,PASS,Good,Low
91,2.9,54,4.3,10,1.4,8.0,7,5,57,PASS,Average,Medium
97,6.6,58,9.3,6,5.4,7.8,8,10,78,PASS,Good,Low
86,6.9,58,7.5,7,1.4,4.6,7,3,71,PASS,Good,Low
81,2.4,54,7.4,6,6.9,7.6,7,7,58,PASS,Average,Medium
71,1.6,40,7.0,10,4.6,4.7,2,10,51,PASS,Average,Medium
97,8.0,84,4.4,3,4.7,4.5,3,8,68,PASS,Average,Medium
93,5.1,98,4.5,7,4.9,7.2,10,8,66,PASS,Average,Medium
52,1.5,53,7.6,4,2.2,6.4,3,7,54,PASS,Average,High
51,10.0,80,6.0,9,2.4,7.5,10,2,83,PASS,Good,High
69,1.5,85,9.5,8,3.2,4.5,4,9,58,PASS,Average,Medium
91,7.3,91,6.4,9,5.2,6.6,8,10,83,PASS,Good,Low
99,9.9,65,4.9,4,2.5,5.0,8,10,82,PASS,Good,Low
58,3.2,58,8.3,0,1.8,9.9,9,3,57,PASS,Average,High
80,2.3,60,5.8,8,7.8,7.4,0,0,50,PASS,Average,High
69,2.1,83,7.2,4,1.2,8.1,7,8,50,PASS,Average,High
98,3.7,89,8.2,5,6.6,6.0,0,4,62,PASS,Average,Medium
92,1.9,51,9.4,3,6.5,4.6,1,5,58,PASS,Average,Medium
92,7.2,62,8.8,5,3.1,9.9,6,2,74,PASS,Good,Low
73,1.6,94,8.1,7,1.9,5.7,7,10,64,PASS,Average,Medium
71,5.6,88,8.1,2,2.0,6.5,0,9,64,PASS,Average,Medium
64,10.0,99,9.7,4,5.9,7.9,2,7,89,PASS,Excellent,Medium
53,8.3,85,5.8,1,5.5,4.1,6,6,68,PASS,Average,High
93,6.5,64,4.0,1,6.5,8.9,8,0,61,PASS,Average,Medium
91,3.8,75,5.6,6,7.6,7.2,7,9,55,PASS,Average,Medium
100,6.6,80,5.3,9,5.8,5.7,7,4,73,PASS,Good,Low
100,5.7,45,8.0,9,2.1,4.4,8,9,80,PASS,Good,Low
78,4.8,73,7.8,10,2.7,5.0,9,8,76,PASS,Good,Medium
88,2.2,83,7.6,9,6.9,9.4,2,10,65,PASS,Average,Medium
97,9.0,50,4.1,5,2.5,8.1,7,5,61,PASS,Average,Medium
92,5.0,87,8.4,3,1.5,5.5,0,7,69,PASS,Average,Medium
62,2.8,75,5.9,4,5.9,4.4,7,9,61,PASS,Average,Medium
73,4.3,97,8.0,0,3.8,8.1,6,0,72,PASS,Good,Medium
56,4.7,43,7.3,6,7.4,7.4,7,9,60,PASS,Average,High
98,8.4,56,6.1,7,5.6,6.4,0,10,69,PASS,Average,Medium
80,7.6,76,4.8,8,1.6,6.2,5,6,72,PASS,Good,Medium
61,7.9,58,4.6,7,7.6,5.3,6,2,65,PASS,Average,Medium
84,1.1,83,9.0,4,2.8,8.0,10,8,69,PASS,Average,Medium
81,4.7,86,9.5,2,3.4,9.8,4,5,74,PASS,Good,Low
68,5.3,46,7.9,9,3.8,5.1,4,4,68,PASS,Average,Medium
56,1.2,71,4.6,10,1.4,7.6,6,7,50,PASS,Average,High
84,3.3,71,6.4,8,4.5,6.5,10,7,63,PASS,Average,Medium
76,7.8,62,8.4,5,1.9,6.7,2,2,72,PASS,Good,Medium
89,2.2,96,8.7,4,3.8,5.5,5,1,66,PASS,Average,Medium
76,5.8,90,4.7,2,3.5,9.0,6,1,68,PASS,Average,Medium
93,2.9,82,4.0,5,6.4,6.9,0,4,55,PASS,Average,Medium
78,1.1,83,8.3,2,6.6,7.3,1,9,48,FAIL,Poor,High
78,3.2,68,6.1,9,2.1,5.8,3,6,54,PASS,Average,Medium
94,9.8,95,5.5,5,3.6,5.1,7,7,88,PASS,Excellent,Low
70,8.2,82,4.1,3,3.6,4.5,10,9,69,PASS,Average,Medium
57,9.6,84,7.2,1,2.1,8.3,9,7,80,PASS,Good,High
51,5.4,92,9.1,7,6.6,5.2,5,7,72,PASS,Good,High
88,2.0,56,9.7,3,6.0,8.1,0,9,67,PASS,Average,Medium
81,5.9,88,7.4,8,2.3,6.3,9,10,75,PASS,Good,Low
85,5.1,52,7.1,6,3.6,6.5,4,2,68,PASS,Average,Medium
61,8.6,61,4.5,1,1.7,6.8,6,10,65,PASS,Average,Medium
57,1.9,60,7.3,3,5.4,6.2,5,1,40,FAIL,Poor,High
51,5.4,99,6.3,4,1.8,4.6,8,3,61,PASS,Average,High
68,2.4,91,7.6,2,7.9,5.9,7,0,52,PASS,Average,Medium
79,3.9,82,6.3,8,6.5,8.0,3,2,67,PASS,Average,Medium
70,7.6,84,5.4,4,3.7,8.0,10,10,79,PASS,Good,Medium
72,5.3,74,4.6,1,5.0,5.7,4,8,57,PASS,Average,Medium
95,4.4,97,5.9,10,7.4,6.8,6,6,67,PASS,Average,Medium
67,4.6,70,4.6,2,4.9,5.2,7,6,48,FAIL,Poor,High
76,5.1,63,5.1,8,2.2,5.3,4,0,65,PASS,Average,Medium
89,8.1,50,9.9,6,3.7,4.1,8,6,73,PASS,Good,Low
70,9.0,87,6.7,1,6.9,9.4,9,9,76,PASS,Good,Medium
81,9.6,84,7.2,8,5.5,5.3,3,6,94,PASS,Excellent,Low
93,8.1,63,9.2,3,5.6,5.4,3,3,73,PASS,Good,Low
97,3.8,42,10.0,8,7.1,5.7,7,6,61,PASS,Average,Medium
57,7.2,90,7.5,1,7.3,4.8,0,7,57,PASS,Average,High
96,4.9,41,8.9,9,7.4,7.8,7,2,80,PASS,Good,Low
75,3.3,82,6.0,3,1.7,4.5,4,9,59,PASS,Average,Medium
63,8.6,98,5.8,4,4.8,4.8,10,1,70,PASS,Good,Medium
73,1.3,66,6.4,1,6.2,7.9,0,6,44,FAIL,Poor,High
99,9.1,54,8.0,9,6.3,6.0,3,4,77,PASS,Good,Low
75,5.2,82,8.1,0,5.2,8.2,1,4,54,PASS,Average,Medium
66,6.7,89,5.9,6,2.2,7.3,3,4,73,PASS,Good,Medium
82,6.9,73,4.8,9,6.6,5.5,7,6,68,PASS,Average,Medium
62,9.1,98,7.8,0,6.0,7.9,4,8,81,PASS,Good,Medium
54,6.7,43,4.8,10,1.6,4.7,0,10,59,PASS,Average,High
56,6.5,70,7.5,10,4.2,7.2,6,7,73,PASS,Good,High
56,1.6,83,8.2,7,2.2,6.6,0,5,46,FAIL,Poor,High
58,5.7,92,8.2,2,3.4,5.6,8,6,74,PASS,Good,High
57,2.4,51,8.5,9,1.1,7.6,2,8,53,PASS,Average,High
82,7.6,88,9.2,5,3.8,9.2,2,10,78,PASS,Good,Low
59,5.6,73,7.0,6,4.8,10.0,5,5,63,PASS,Average,High
67,7.1,64,8.4,9,5.3,7.6,9,0,65,PASS,Average,Medium
95,1.4,48,7.7,0,5.6,6.4,5,3,45,FAIL,Poor,High
74,1.8,92,5.1,5,6.9,5.4,10,7,50,PASS,Average,High
83,7.4,49,4.2,6,2.5,5.5,10,6,63,PASS,Average,Medium
59,1.6,59,5.7,5,1.8,6.9,5,2,38,FAIL,Poor,High
60,1.6,57,6.7,3,7.0,6.2,0,9,49,FAIL,Poor,High
52,1.1,92,7.7,0,2.1,9.5,4,2,54,PASS,Average,High
58,9.6,80,9.1,10,7.8,6.2,5,10,81,PASS,Good,High
64,7.6,88,5.2,8,6.9,6.2,7,2,67,PASS,Average,Medium
59,4.2,55,4.8,3,4.5,6.3,0,0,50,PASS,Average,High
54,3.7,77,9.8,6,7.9,9.0,4,9,64,PASS,Average,High
56,4.1,74,4.6,6,1.7,7.9,2,0,47,FAIL,Poor,High
73,8.0,90,6.9,1,3.1,7.7,1,5,72,PASS,Good,Medium
60,7.0,94,7.5,0,5.5,6.0,10,0,64,PASS,Average,High
68,2.7,41,7.2,7,3.5,8.9,7,4,51,PASS,Average,Medium
75,2.6,80,4.5,7,7.5,4.2,6,3,51,PASS,Average,Medium
85,1.9,43,4.3,6,1.5,9.2,9,4,54,PASS,Average,Medium
52,6.9,73,4.6,7,4.8,7.1,6,6,73,PASS,Good,High
90,7.9,57,7.5,2,5.1,6.4,4,5,77,PASS,Good,Low
81,3.4,58,7.3,10,5.6,7.0,8,8,63,PASS,Average,Medium
54,1.2,61,5.4,1,2.8,8.0,4,5,53,PASS,Average,High
94,1.7,77,7.8,6,3.6,4.1,1,8,61,PASS,Average,Medium
96,9.7,60,8.9,7,6.9,9.2,2,3,79,PASS,Good,Low
53,3.7,84,4.2,0,2.4,6.7,3,0,48,FAIL,Poor,High
64,7.9,64,7.0,9,6.8,6.1,4,0,67,PASS,Average,Medium
90,6.6,44,8.1,8,4.9,4.8,2,9,63,PASS,Average,Medium
87,4.4,87,5.5,10,6.3,6.6,6,6,61,PASS,Average,Medium
59,2.9,57,5.8,3,6.0,7.0,4,2,46,FAIL,Poor,High
60,2.1,66,7.7,3,2.5,6.4,4,1,56,PASS,Average,High
69,6.5,81,9.4,2,5.0,8.1,5,5,79,PASS,Good,Medium
74,8.0,60,8.9,5,7.1,6.5,6,5,68,PASS,Average,Medium
81,6.8,43,7.5,0,4.0,9.8,9,6,64,PASS,Average,Medium
68,5.8,62,8.4,5,7.8,7.6,9,4,70,PASS,Good,Medium
73,1.4,97,6.2,1,4.2,8.8,7,7,55,PASS,Average,Medium
87,9.7,79,7.8,8,2.0,4.7,8,6,91,PASS,Excellent,Low
52,8.2,80,6.8,1,3.7,6.4,10,1,67,PASS,Average,High
63,3.6,78,5.1,6,7.7,6.0,3,0,58,PASS,Average,Medium
86,9.8,52,8.2,0,3.2,7.4,4,8,77,PASS,Good,Low
95,6.4,65,7.3,6,7.1,9.2,4,4,74,PASS,Good,Low
76,6.2,85,6.2,4,7.2,4.5,7,10,65,PASS,Average,Medium
77,7.7,46,9.5,7,3.5,4.4,8,4,76,PASS,Good,Medium
55,8.3,57,4.1,3,1.6,9.1,6,9,55,PASS,Average,High
72,6.9,57,5.9,9,6.1,5.3,4,3,61,PASS,Average,Medium
77,2.2,66,4.3,6,3.2,8.0,2,1,47,FAIL,Poor,High
62,4.0,99,8.6,5,6.5,7.3,0,4,66,PASS,Average,Medium
63,9.4,44,8.2,4,4.1,9.0,10,1,89,PASS,Excellent,Medium
69,3.0,71,6.0,3,4.4,4.8,8,6,52,PASS,Average,Medium
51,4.3,51,8.1,6,6.4,4.8,4,10,50,PASS,Average,High
66,4.9,98,6.4,4,3.7,7.3,8,8,76,PASS,Good,Medium
61,5.0,47,8.5,4,4.1,9.7,9,8,70,PASS,Good,Medium
66,6.5,64,6.7,0,3.6,6.5,3,10,56,PASS,Average,Medium
56,9.5,84,6.5,1,3.6,6.0,4,5,75,PASS,Good,High
95,3.2,82,9.6,4,4.7,7.6,3,0,72,PASS,Good,Low
80,2.1,65,5.5,2,6.7,9.6,1,5,48,FAIL,Poor,High
84,2.8,61,4.7,1,3.5,9.0,0,4,49,FAIL,Poor,High
89,9.0,64,7.5,3,4.7,10.0,7,3,75,PASS,Good,Low
75,6.8,56,9.8,3,5.7,4.1,3,5,72,PASS,Good,Medium
54,3.6,52,6.3,3,2.9,4.7,4,5,47,FAIL,Poor,High
77,8.3,69,4.4,3,2.9,7.7,5,5,54,PASS,Average,Medium
79,8.8,56,6.0,2,7.5,8.9,7,1,69,PASS,Average,Medium
87,8.6,57,7.0,6,6.1,5.7,10,6,67,PASS,Average,Medium
72,9.3,79,5.0,8,5.0,5.4,7,3,80,PASS,Good,Medium
56,3.3,98,7.9,4,5.5,8.7,6,8,58,PASS,Average,High
64,7.8,76,10.0,3,1.2,4.3,3,9,66,PASS,Average,Medium
68,5.1,45,6.7,10,5.3,6.2,5,1,51,PASS,Average,Medium
82,8.6,45,6.1,1,4.6,7.0,3,4,64,PASS,Average,Medium
79,7.6,97,6.4,1,4.8,7.4,6,3,73,PASS,Good,Medium
68,8.0,58,4.7,4,3.5,8.4,10,8,60,PASS,Average,Medium
99,6.9,46,9.3,6,1.6,6.1,0,3,68,PASS,Average,Medium
80,2.6,76,6.5,9,2.4,7.7,4,7,62,PASS,Average,Medium
62,5.9,77,6.3,9,7.7,7.5,9,7,73,PASS,Good,Medium
55,9.9,79,8.0,8,3.9,7.3,9,5,78,PASS,Good,High
58,9.4,56,6.7,6,4.3,7.8,3,5,74,PASS,Good,High
62,1.4,41,7.9,4,1.4,5.6,10,10,43,FAIL,Poor,High
58,2.5,98,4.4,9,1.3,4.5,6,7,58,PASS,Average,High
59,2.2,55,8.9,9,6.0,4.7,8,9,62,PASS,Average,High
64,7.5,81,9.6,9,4.8,5.3,4,8,83,PASS,Good,Medium
59,8.4,82,7.9,5,4.6,7.0,3,4,80,PASS,Good,High
95,2.9,77,9.7,10,2.7,9.0,8,10,81,PASS,Good,Low
54,5.6,59,4.9,2,6.2,8.2,4,0,61,PASS,Average,High
76,8.6,56,6.9,4,2.2,8.7,8,0,74,PASS,Good,Medium
71,7.6,76,7.6,7,2.3,6.1,7,1,85,PASS,Excellent,Medium
99,5.9,92,7.5,0,4.2,6.4,3,9,66,PASS,Average,Medium
56,6.3,97,6.4,0,3.0,6.4,10,9,67,PASS,Average,High
70,5.6,46,6.0,6,2.7,5.2,10,4,60,PASS,Average,Medium
98,3.7,49,4.8,4,5.5,4.4,6,3,46,FAIL,Poor,High
93,6.1,97,6.4,4,5.6,7.5,4,0,59,PASS,Average,Medium
91,7.2,84,5.0,0,6.8,9.9,9,3,72,PASS,Good,Low
63,8.9,93,8.4,8,3.9,5.0,3,3,77,PASS,Good,Medium
59,6.7,52,5.3,0,1.5,4.3,4,9,54,PASS,Average,High
83,7.9,75,4.4,4,2.9,8.7,4,3,76,PASS,Good,Low
96,2.4,82,7.3,9,7.9,5.5,10,0,67,PASS,Average,Medium
78,5.2,81,7.6,8,5.2,9.0,8,8,82,PASS,Good,Medium
79,1.1,64,9.2,3,6.0,8.2,8,2,57,PASS,Average,Medium
64,3.2,41,7.5,7,1.1,9.7,5,3,60,PASS,Average,Medium
88,7.5,75,6.1,5,4.6,6.5,3,4,69,PASS,Average,Medium
59,9.9,55,8.8,10,1.3,8.0,1,6,79,PASS,Good,High
66,1.9,67,7.2,2,5.0,6.8,2,5,52,PASS,Average,Medium
71,4.6,97,4.5,3,7.4,7.8,1,4,54,PASS,Average,Medium
75,8.2,64,7.4,1,7.8,6.7,4,7,72,PASS,Good,Medium
62,2.8,90,9.4,0,4.8,5.1,5,0,56,PASS,Average,Medium
56,6.0,51,6.4,7,4.2,7.0,10,6,62,PASS,Average,High
81,7.6,80,5.8,0,7.6,7.2,4,5,65,PASS,Average,Medium
64,6.5,99,4.9,10,5.7,8.9,1,10,76,PASS,Good,Medium
79,2.7,46,4.9,0,1.5,8.4,4,4,43,FAIL,Poor,High
58,4.2,40,6.6,3,4.3,8.0,8,6,59,PASS,Average,High
74,8.1,66,7.6,9,2.7,4.7,3,2,71,PASS,Good,Medium
77,6.0,46,4.5,9,4.3,8.3,9,0,62,PASS,Average,Medium
53,1.0,85,9.6,5,4.2,7.0,1,8,54,PASS,Average,High
67,7.8,95,8.5,8,5.1,9.4,2,1,86,PASS,Excellent,Medium
57,1.3,66,7.5,0,3.5,9.5,2,9,44,FAIL,Poor,High
53,7.7,56,9.0,6,2.1,4.3,8,2,69,PASS,Average,High
99,2.8,66,4.5,9,4.5,8.9,3,7,51,PASS,Average,Medium
66,9.6,83,6.9,10,6.8,4.2,0,9,79,PASS,Good,Medium
90,4.3,41,7.8,4,5.6,6.2,0,8,60,PASS,Average,Medium
63,3.9,75,9.0,7,3.4,7.3,6,2,69,PASS,Average,Medium
84,2.3,77,8.7,6,7.5,4.9,6,5,60,PASS,Average,Medium
88,3.8,78,5.7,3,7.4,8.5,1,6,53,PASS,Average,Medium
80,8.9,55,9.6,3,2.5,4.1,8,0,77,PASS,Good,Medium
74,10.0,83,4.7,5,1.3,5.0,8,6,76,PASS,Good,Medium
71,4.3,45,9.3,5,6.2,7.5,4,3,62,PASS,Average,Medium
67,5.0,52,9.8,8,6.8,8.3,2,4,68,PASS,Average,Medium
96,7.5,93,5.1,4,7.8,9.5,2,7,80,PASS,Good,Low
92,9.0,84,8.3,7,7.2,8.2,2,3,83,PASS,Good,Low
98,6.3,41,4.2,4,5.2,8.0,5,3,60,PASS,Average,Medium
56,4.5,55,6.4,1,4.7,6.4,3,7,52,PASS,Average,High
87,4.7,53,7.1,5,1.2,4.0,7,4,61,PASS,Average,Medium
